timestamp,domain,query_type,dns_server,ttl,nameservers,ip_addresses,response_time_ms,has_changed
2025-05-13 11:48:21,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",216,0
2025-05-13 11:48:22,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",273,0
2025-05-13 11:48:25,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",179,0
2025-05-13 11:48:27,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:48:40,fedora.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:48:43,fedora.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",218,0
2025-05-13 11:48:45,fedora.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",50,0
2025-05-13 11:48:47,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",100,0
2025-05-13 11:48:50,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",24,0
2025-05-13 11:48:53,fedora.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",226,0
2025-05-13 11:48:55,fedora.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",217,0
2025-05-13 11:48:58,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",186,0
2025-05-13 11:48:59,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",51,0
2025-05-13 11:49:00,ubuntu.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",81,0
2025-05-13 11:49:02,ubuntu.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",51,0
2025-05-13 11:49:04,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",102,0
2025-05-13 11:49:18,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-13 11:49:20,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",9,0
2025-05-13 11:49:22,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",8,0
2025-05-13 11:49:24,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",99,0
2025-05-13 11:49:27,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-13 11:49:30,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",41,0
2025-05-13 11:49:33,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",213,0
