timestamp,domain,query_type,dns_server,ttl,nameservers,ip_addresses,response_time_ms,has_changed
2025-05-14 00:32:30,digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:32:31,digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:32:33,digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",23,0
2025-05-14 00:32:43,digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.251",24,0
2025-05-14 00:32:45,digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",13,0
2025-05-14 00:32:59,digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-14 00:33:02,digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",10,0
2025-05-14 00:33:04,digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",31,0
2025-05-14 00:33:07,digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",23,0
2025-05-14 00:33:09,digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-14 00:33:12,digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",24,0
2025-05-14 00:33:14,digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.250",10,0
2025-05-14 00:33:17,fedora.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",38,0
2025-05-14 00:33:18,fedora.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",54,0
2025-05-14 00:33:19,fedora.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",40,0
2025-05-14 00:33:21,fedora.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",63,0
2025-05-14 00:33:23,fedora.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-14 00:33:36,fedora.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:33:39,fedora.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",71,0
2025-05-14 00:33:41,fedora.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",15,0
2025-05-14 00:33:43,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-14 00:33:46,fedora.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",8,0
2025-05-14 00:33:49,fedora.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",79,0
2025-05-14 00:33:51,fedora.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",51,0
2025-05-14 00:33:53,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",52,0
2025-05-14 00:33:54,ubuntu.mirror.digitalpacific.com.au,NS,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",51,0
2025-05-14 00:33:55,ubuntu.mirror.digitalpacific.com.au,NS,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",164,0
2025-05-14 00:33:57,ubuntu.mirror.digitalpacific.com.au,NS,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",22,0
2025-05-14 00:33:59,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:34:13,ubuntu.mirror.digitalpacific.com.au,A,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",9,0
2025-05-14 00:34:16,ubuntu.mirror.digitalpacific.com.au,A,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",25,0
2025-05-14 00:34:18,ubuntu.mirror.digitalpacific.com.au,A,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","203.16.232.200",10,0
2025-05-14 00:34:20,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.35,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:34:23,ubuntu.mirror.digitalpacific.com.au,SOA,119.40.106.36,3600,"ns1.has.email,ns2.has.email","111.90.150.116",7,0
2025-05-14 00:34:25,ubuntu.mirror.digitalpacific.com.au,SOA,1.1.1.1,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",68,0
2025-05-14 00:34:27,ubuntu.mirror.digitalpacific.com.au,SOA,162.159.25.173,3600,"ns1.digitalpacific.com.au,ns2.digitalpacific.com.au","101.0.120.90",63,0
